SQL_INSERT_QUERY
"INSERT INTO TRANSACTION (TRANSACTION_ID, CUST_ID, AMOUNT, TRANSACTION_TYPE, TRANSACTION_DATE, DESCRIPTION) VALUES (1, 6523, 3030.41, 'Refund', '2023-11-16', 'Ask child owner image.');"
"INSERT INTO TRANSACTION (TRANSACTION_ID, CUST_ID, AMOUNT, TRANSACTION_TYPE, TRANSACTION_DATE, DESCRIPTION) VALUES (2, 1321, 7557.81, 'Credit', '2024-11-12', 'Control effect attack it.');"
"INSERT INTO TRANSACTION (TRANSACTION_ID, CUST_ID, AMOUNT, TRANSACTION_TYPE, TRANSACTION_DATE, DESCRIPTION) VALUES (3, 1407, 8078.73, 'Transfer', '2023-02-19', 'Less base opportunity character despite.');"
"INSERT INTO TRANSACTION (TRANSACTION_ID, CUST_ID, AMOUNT, TRANSACTION_TYPE, TRANSACTION_DATE, DESCRIPTION) VALUES (4, 8571, 8826.4, 'Withdrawal', '2021-09-08', 'Hot push street begin and build.');"
"INSERT INTO TRANSACTION (TRANSACTION_ID, CUST_ID, AMOUNT, TRANSACTION_TYPE, TRANSACTION_DATE, DESCRIPTION) VALUES (5, 1403, 1752.69, 'Credit', '2020-09-09', 'Model set hour hospital year.');"
"INSERT INTO TRANSACTION (TRANSACTION_ID, CUST_ID, AMOUNT, TRANSACTION_TYPE, TRANSACTION_DATE, DESCRIPTION) VALUES (6, 395, 8844.14, 'Deposit', '2020-09-26', 'Public fact material yet.');"
"INSERT INTO TRANSACTION (TRANSACTION_ID, CUST_ID, AMOUNT, TRANSACTION_TYPE, TRANSACTION_DATE, DESCRIPTION) VALUES (7, 2985, 4629.86, 'Deposit', '2021-12-31', 'Major water nearly remain.');"
"INSERT INTO TRANSACTION (TRANSACTION_ID, CUST_ID, AMOUNT, TRANSACTION_TYPE, TRANSACTION_DATE, DESCRIPTION) VALUES (8, 3984, 8657.31, 'Debit', '2021-07-31', 'Run situation society among contain stage daughter color.');"
"INSERT INTO TRANSACTION (TRANSACTION_ID, CUST_ID, AMOUNT, TRANSACTION_TYPE, TRANSACTION_DATE, DESCRIPTION) VALUES (9, 4032, 8972.13, 'Deposit', '2025-06-26', 'Interview medical area both suddenly radio brother discussion.');"
"INSERT INTO TRANSACTION (TRANSACTION_ID, CUST_ID, AMOUNT, TRANSACTION_TYPE, TRANSACTION_DATE, DESCRIPTION) VALUES (10, 7735, 686.46, 'Deposit', '2021-05-05', 'List chair large support on plant head many.');"
"INSERT INTO TRANSACTION (TRANSACTION_ID, CUST_ID, AMOUNT, TRANSACTION_TYPE, TRANSACTION_DATE, DESCRIPTION) VALUES (11, 8795, 8831.85, 'Transfer', '2021-02-23', 'Relationship back wind.');"
"INSERT INTO TRANSACTION (TRANSACTION_ID, CUST_ID, AMOUNT, TRANSACTION_TYPE, TRANSACTION_DATE, DESCRIPTION) VALUES (12, 7348, 1375.9, 'Withdrawal', '2023-05-24', 'Key where social various position item.');"
